POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,SER,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON_1,PBABIP,HRA,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,BatR,wSB,UBR,BsR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,TB,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,POS_1,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
SP,Tyler Anderson,Tyler,Anderson,Silver Spring Penguins,6' 2',220 lbs,L,L,66,Colorado Rockies,COL,2016,2015+,Leg,-,84031,Bronze,All-Time Legend  SP Tyler Anderson  COL  Peak,,0,N,0,29,28,37,58,63,31,34,31,37,40,68,30,25,29,37,62,62,32,37,13,Normal,Normal,Normal,57,76,93,76,77,57,88,94,107,79,57,73,93,65,77,64,75,69,64,70,-,68,-,-,-,-,-,6,EX FB,89-91,3/4,Normal,64,113,-,-,-,35,13,22,19,10,3,8,56,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,-,-,16,3,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,5.0,25,23,3,3,1,1,16,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0.76,104,5,8,0,0,-0.1,-0.1,-0.1,5.83,1,1,1,1,0,1,0,0,0,1.80,0.0,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,The Black Freighter TBD,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,4.1,26,18,4,1,1,0,9,5,5,6,2,1,1,1,0,0,0,0,0,0,0,0,1.46,92,6,6,0,0,-0.5,-0.1,-0.2,8.14,1,1,1,1,0,1,0,0,0,2.08,0.0,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Ravenna Roadrunners,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,5.0,24,20,3,2,0,0,7,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1.38,101,6,8,0,0,0.2,0.0,0.2,7.01,1,1,1,2,1,1,0,0,0,3.60,0.0,1.021,0,0,5.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Raleigh Keilbasas,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,69,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,0,1,0,0,1,0,5.0,20,17,2,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,1.14,83,9,2,0,0,0.2,0.0,0.3,5.37,1,3,0,2,0,2,0,0,0,3.60,0.0,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Santa Barbara Golden Gophers -BFF,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,1,0,0,0,0,11.0,44,40,3,1,0,3,17,5,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0.94,191,12,11,1,0,0.0,-0.1,0.2,3.72,1,2,2,2,2,0,0,0,0,1.64,-0.2,1.021,1,0,11.0,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0.0,0.0
SP,Hayden Birdsong,Hayden,Birdsong,Leclerc Monarchs,6' 4',215 lbs,R,R,66,San Francisco Giants,SFG,2026,2026,2026Live,-,81710,Bronze,MLB 2026 Live  SP Hayden Birdsong  SF,,0,N,0,31,21,18,7,8,38,21,31,18,7,8,38,21,31,18,7,8,38,57,13,Normal,Spray,Spray,79,78,68,82,77,77,77,68,80,76,81,80,69,85,78,96,81,87,89,-,-,-,-,-,-,-,-,4,FB,96-98,3/4,Normal,53,31,1,1,1,24,29,34,10,30,32,37,61,-,49,-,-,-,25,-,16,61,-,49,-,-,-,25,-,16,15,11,13,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,2.0,13,13,3,2,1,1,14,6,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0.61,58,1,2,0,0,-0.3,-0.0,-0.4,2.56,1,1,1,0,0,0,0,0,0,0.00,0.0,.000,0,0,2.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Cody Bradford,Cody,Bradford,Santa Barbara Golden Gophers -BFF,6' 4',195 lbs,L,L,68,Texas Rangers,TEX,2026,2026,2026Live,-,82211,Bronze,MLB 2026 Live  RP Cody Bradford  TEX,,0,N,0,23,20,20,7,17,26,20,23,20,7,17,26,20,23,20,7,17,26,42,21,Normal,Spray,Spray,65,73,106,83,69,62,71,100,85,65,66,74,108,82,71,75,78,71,69,-,-,71,-,-,-,-,-,5,EX FB,90-92,3/4,Normal,46,69,-,-,1,27,26,44,13,3,3,3,64,-,51,-,-,-,-,-,-,64,-,51,-,-,-,-,-,-,20,16,17,26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,8.1,39,37,9,3,0,0,15,4,4,2,0,7,0,0,0,0,0,0,0,0,0,0,1.06,163,5,13,0,0,-0.1,0.3,0.1,3.71,1,2,2,2,0,2,0,0,0,2.16,0.0,.000,0,0,8.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Sean Burke,Sean,Burke,Candy's Bucks TTC,6' 6',230 lbs,R,R,65,Chicago White Sox,CHW,2026,2026,2026Live,-,82480,Bronze,MLB 2026 Live  SP Sean Burke  CWS,,0,N,0,15,17,15,3,14,12,17,15,15,3,14,12,17,15,15,3,14,12,78,8,Normal,Spray,Spray,81,72,70,82,67,81,71,71,80,67,81,74,70,85,69,98,83,92,92,-,-,-,-,-,-,-,-,4,EX FB,95-97,3/4,Normal,54,60,2,2,5,34,11,50,18,22,23,16,60,-,55,-,-,-,10,-,-,60,-,55,-,-,-,10,-,-,19,18,21,17,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,3,2,0,0,0,0,18.1,70,67,7,1,0,5,29,6,5,3,0,11,0,0,0,0,0,0,1,0,0,0,0.81,285,20,22,0,1,0.1,-0.2,0.6,4.16,1,3,3,4,2,2,0,0,0,1.96,0.1,1.021,1,1,18.1,0,0,0.00,1,1,0,0,1,0,0,0,0,0,0.0,0.0
SP,Mark Clark,Mark,Clark,Haverhill Hillies,6' 5',225 lbs,R,R,68,New York Mets,NYM,1996,1993-2004,Leg,-,84037,Bronze,All-Time Legend  SP Mark Clark  NYM  Peak,,0,N,0,13,1,77,30,42,23,1,14,61,18,54,26,1,12,82,33,38,22,48,18,Line Drive,Normal,Normal,63,70,110,62,75,60,66,94,62,68,65,72,127,62,78,65,86,-,49,-,-,-,78,-,-,-,-,4,NEU,89-91,OTT,Normal,68,112,-,-,-,26,29,25,19,10,3,4,62,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,7.1,30,28,6,2,0,0,10,3,3,0,0,5,0,1,1,0,0,0,0,0,0,0,0.98,100,7,10,0,0,0.1,0.3,0.2,3.48,1,1,1,0,0,0,0,0,0,0.00,0.0,.000,0,0,7.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Darltie Cooper,Darltie,Cooper,Smokey Bear,5' 10',185 lbs,R,R,68,Harrisburg Giants,HaGi,1926,1921-1945,NeL,-,84434,Bronze,Negro League Star  SP Darltie Cooper  HaGi  1926,,0,N,0,40,46,70,70,49,37,47,41,71,72,51,38,46,40,70,70,49,37,40,19,Normal,Normal,Spray,61,74,93,76,73,60,74,93,77,73,61,74,94,76,74,64,76,71,76,-,-,-,-,-,-,-,-,4,NEU,90-92,OTT,Normal,73,60,1,1,1,59,30,45,53,72,59,59,93,-,58,-,30,26,79,57,72,93,-,58,-,30,26,79,57,72,36,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,4.1,23,19,6,1,0,1,12,7,7,4,0,3,0,0,0,0,0,0,1,0,0,0,1.03,106,4,4,0,0,-0.4,-0.1,-0.3,6.05,1,1,1,0,0,0,0,0,0,0.00,0.0,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
